Episode 230, Total Reward: 253.0358813084966, Policy Loss: -4.219878196716309, Alpha Loss: 2.0630036567936827e-10
Episode 231, Total Reward: 204.7497168680008, Policy Loss: -5.237478256225586, Alpha Loss: 2.040341645637156e-10
Episode 232, Total Reward: 262.5682779618949, Policy Loss: -4.2027668952941895, Alpha Loss: 2.0400424405320194e-10
Episode 233, Total Reward: 12.366318375547209, Policy Loss: -5.226274490356445, Alpha Loss: 2.0135547396105125e-10
Episode 234, Total Reward: 8.266955238202733, Policy Loss: -6.74026346206665, Alpha Loss: 2.0086159124854674e-10
Episode 235, Total Reward: 233.96184810959394, Policy Loss: -6.071490287780762, Alpha Loss: 2.0014451207472916e-10
Episode 236, Total Reward: -14.326133723146796, Policy Loss: -6.2812299728393555, Alpha Loss: 1.9823222230375137e-10
Episode 237, Total Reward: 250.99153791095083, Policy Loss: -7.291950702667236, Alpha Loss: 1.9753997049232197e-10
Episode 238, Total Reward: 246.71828327812412, Policy Loss: -5.575767517089844, Alpha Loss: 1.9583654142785178e-10
Episode 239, Total Reward: 235.17556581069232, Policy Loss: -7.1570143699646, Alpha Loss: 1.9479684532086594e-10
Episode 240, Total Reward: 53.16194044994976, Policy Loss: -6.696006774902344, Alpha Loss: 1.9317734911705742e-10
Episode 241, Total Reward: 242.52873927012715, Policy Loss: -7.074854850769043, Alpha Loss: 1.9265045114735813e-10
Episode 242, Total Reward: 17.447149212152784, Policy Loss: -7.974438667297363, Alpha Loss: 1.9065983514199303e-10
Episode 243, Total Reward: 15.12270530201924, Policy Loss: -10.807775497436523, Alpha Loss: 1.8884133146102045e-10
Episode 244, Total Reward: 223.64795971121396, Policy Loss: -8.121006965637207, Alpha Loss: 1.868621646305968e-10
